Date,Solar Radiation (W/m²),Temperature (°C),Wind Speed (m/s),Humidity (% RH),Surface Temperature (°C)
2001-04-27,26.48,35.17,5.79,14.12,37.08
2001-04-28,26.96,35.51,5.77,20.74,37.71
2001-04-29,24.9,35.33,5.14,30.31,38.06
2001-04-30,25.09,36.64,5.13,26.62,39.95
2001-05-01,26.91,36.36,6.5,20.53,38.31
2001-05-02,26.97,36.73,3.95,21.17,39.57
2001-05-03,26.58,37.14,3.07,15.36,40.04
2001-05-04,26.94,37.51,2.99,13.99,39.45
2001-05-05,27.94,38.23,5.51,16.09,40.29
2001-05-06,26.26,38.21,6.73,20.43,40.29
2001-05-07,25.64,37.37,8.7,24.43,39.5
2001-05-08,25.11,36.36,7.38,30.05,39.09
2001-05-09,23.93,36.09,5.55,31.53,39.26
2001-05-10,26.24,37.05,6.79,22.28,39.01
2001-05-11,27.25,36.93,8.9,27.75,38.7
2001-05-12,27.28,36.87,7.37,24.14,38.84
2001-05-13,27.65,36.6,6.78,23.71,38.81
2001-05-14,27.01,34.85,7.1,32.99,37.47
2001-05-15,25.18,35.05,4.57,37.49,38.63
2001-05-16,24.84,35.19,5.26,38.37,38.17
2001-05-17,25.91,35.13,6.46,34.95,37.94
2001-05-18,25.12,32.88,5.37,44.57,35.61
2001-05-19,25.54,33.87,4.64,41.08,37.03
2001-05-20,23.7,30.87,5.55,56.89,31.59
2001-05-21,22.6,32.64,5.28,48.79,34.38
2001-05-22,25.09,33.89,3.89,43.3,36.68
2001-05-23,25.96,35.97,4.74,31.84,38.47
2001-05-24,24.72,37.61,7.27,24.53,39.37
2001-05-25,26.2,36.09,8.99,28.68,37.79
2001-05-26,27.13,36.55,6.49,32.97,39.17
2001-05-27,27.89,37.16,6.78,32.17,40.26
2001-05-28,27.64,37.11,6.45,33.61,40.27
2001-05-29,27.0,36.27,5.51,35.24,40.14
2001-05-30,27.56,36.38,5.13,40.47,40.68
2001-05-31,26.85,36.8,6.99,38.21,40.23
2001-06-01,26.03,36.25,8.4,35.66,38.9
2001-06-02,25.88,35.81,7.3,36.21,38.93
2001-06-03,24.82,36.14,7.4,34.43,38.91
2001-06-04,22.97,36.18,7.36,34.95,39.18
2001-06-05,18.84,35.1,6.32,38.51,38.38
2001-06-06,20.83,35.77,5.53,35.76,39.25
2001-06-07,19.07,35.93,5.06,32.43,39.15
2001-06-08,22.16,36.39,3.87,25.44,40.04
2001-06-09,24.27,37.16,5.13,24.24,40.29
2001-06-10,25.12,37.63,4.13,26.89,41.72
2001-06-11,26.19,38.33,2.1,21.98,43.02
2001-06-12,23.91,39.29,1.76,19.15,43.5
2001-06-13,24.54,36.85,5.62,38.5,40.92
2001-06-14,22.34,35.5,4.08,43.55,39.58
2001-06-15,23.61,36.07,2.1,41.62,40.37
2001-06-16,23.69,33.67,4.13,50.01,35.39
2001-06-17,22.9,34.47,5.02,46.95,36.75
2001-06-18,26.04,34.81,2.71,45.94,39.41
2001-06-19,26.21,36.81,5.43,37.49,40.2
2001-06-20,24.67,36.6,9.3,38.7,39.43
2001-06-21,22.84,35.43,9.0,41.26,38.2
2001-06-22,24.75,35.36,8.18,41.16,38.34
2001-06-23,24.14,35.27,6.99,40.66,38.68
2001-06-24,22.37,35.82,3.84,36.35,39.92
2001-06-25,25.44,36.52,5.24,34.41,40.11
2001-06-26,27.02,36.78,6.47,35.85,40.29
2001-06-27,26.81,36.29,5.88,36.36,40.07
2001-06-28,26.08,36.16,6.18,37.6,39.81
2001-06-29,24.59,35.79,5.96,40.02,39.94
2001-06-30,25.14,35.89,5.23,40.07,40.32
2001-07-01,20.63,34.66,4.95,44.94,38.56
2001-07-02,22.19,34.36,5.23,46.77,37.13
2001-07-03,22.37,32.37,3.82,62.69,34.1
2001-07-04,19.68,30.98,4.07,71.63,31.77
2001-07-05,24.72,34.52,3.95,51.66,36.95
2001-07-06,26.78,34.6,4.21,52.35,37.93
2001-07-07,26.18,35.61,4.25,48.52,39.62
2001-07-08,19.49,33.06,3.22,60.59,35.14
2001-07-09,20.44,33.31,2.78,57.81,35.43
2001-07-10,23.37,33.72,3.58,57.16,35.21
2001-07-11,23.78,33.55,5.15,57.76,35.49
2001-07-12,21.49,32.0,4.82,60.39,35.11
2001-07-13,20.09,31.46,6.96,56.67,34.03
2001-07-14,23.98,32.4,8.83,55.48,34.81
2001-07-15,21.25,32.74,10.5,56.6,35.03
2001-07-16,14.93,32.58,9.44,55.11,34.81
2001-07-17,20.94,32.89,5.56,53.77,36.51
2001-07-18,21.3,34.01,3.59,48.66,38.81
2001-07-19,25.78,35.17,4.77,44.03,38.82
2001-07-20,23.3,34.8,6.64,46.56,37.49
2001-07-21,17.56,33.82,6.77,49.01,36.22
2001-07-22,23.24,33.82,5.91,51.75,37.21
2001-07-23,17.31,34.15,3.19,50.34,37.96
2001-07-24,20.37,34.01,3.3,53.58,36.84
2001-07-25,21.24,30.77,3.31,72.59,32.49
2001-07-26,21.8,31.0,4.07,66.28,33.64
2001-07-27,23.32,32.46,4.57,56.73,34.75
2001-07-28,24.63,33.17,6.71,52.66,35.8
2001-07-29,20.59,32.17,7.63,52.4,34.43
2001-07-30,15.57,31.37,4.39,53.22,34.43
2001-07-31,19.02,32.72,3.42,48.07,36.1
2001-08-01,21.83,33.24,5.62,45.12,35.99
2001-08-02,23.42,32.24,5.58,47.29,34.97
2001-08-03,23.38,32.87,4.31,46.46,36.21
2001-08-04,21.88,34.89,2.68,38.55,38.13
2001-08-05,17.39,34.93,3.1,43.61,36.65
2001-08-06,15.15,33.14,3.29,53.42,35.63
2001-08-07,19.31,33.56,3.87,51.85,36.57
2001-08-08,20.5,33.23,2.92,53.52,36.04
2001-08-09,19.68,33.06,2.36,54.21,35.85
2001-08-10,15.82,32.14,1.81,60.25,33.32
2001-08-11,22.69,31.11,1.74,71.57,31.72
2001-08-12,22.87,31.52,2.46,69.42,32.52
2001-08-13,25.4,32.44,4.73,61.21,34.33
2001-08-14,24.64,32.87,6.46,57.51,34.7
2001-08-15,24.41,32.81,3.94,55.54,35.82
2001-08-16,18.25,32.73,3.74,53.75,35.58
2001-08-17,23.94,33.14,4.95,48.22,35.82
