Date,Solar Radiation (W/m²),Temperature (°C),Wind Speed (m/s),Humidity (% RH),Surface Temperature (°C)
2007-04-13,27.02,32.23,4.06,18.9,33.56
2007-04-14,26.3,33.8,2.4,17.99,35.11
2007-04-15,26.7,35.17,1.68,16.91,36.17
2007-04-16,26.8,34.24,3.39,20.72,35.1
2007-04-17,26.43,34.23,3.73,18.47,35.91
2007-04-18,26.27,34.69,3.74,18.56,36.0
2007-04-19,25.31,35.0,1.46,16.15,36.15
2007-04-20,24.97,34.04,1.92,19.08,35.86
2007-04-21,26.48,33.35,2.72,22.43,35.64
2007-04-22,26.31,33.79,5.07,22.65,35.43
2007-04-23,25.47,33.46,6.58,27.99,34.78
2007-04-24,25.98,32.65,5.14,28.4,33.93
2007-04-25,27.3,33.85,5.75,23.12,34.6
2007-04-26,27.51,33.79,4.53,23.72,35.08
2007-04-27,27.63,33.91,4.49,18.67,35.46
2007-04-28,27.51,34.16,3.63,18.71,35.96
2007-04-29,27.31,35.78,1.57,15.62,37.1
2007-04-30,26.56,35.97,2.51,15.95,37.43
2007-05-01,25.39,36.46,2.14,17.25,38.56
2007-05-02,27.08,37.09,3.31,17.05,38.77
2007-05-03,27.22,36.56,3.47,16.8,38.89
2007-05-04,27.54,37.09,1.51,13.48,39.71
2007-05-05,25.94,37.04,1.83,14.98,38.87
2007-05-06,27.1,37.32,3.74,15.97,38.95
2007-05-07,27.44,36.55,4.88,19.87,38.03
2007-05-08,26.79,36.29,5.89,19.13,37.94
2007-05-09,23.91,36.12,4.19,23.18,38.42
2007-05-10,24.95,36.45,2.21,20.76,38.2
2007-05-11,25.7,35.42,3.34,16.63,37.12
2007-05-12,26.83,35.03,3.39,20.76,37.04
2007-05-13,27.14,35.13,4.39,29.82,38.1
2007-05-14,27.4,35.32,4.55,27.4,38.03
2007-05-15,26.62,35.53,6.15,34.09,37.75
2007-05-16,26.03,34.85,5.85,37.7,37.69
2007-05-17,26.37,35.68,4.87,32.5,38.75
2007-05-18,26.54,36.89,6.43,29.49,39.28
2007-05-19,24.33,35.98,5.33,32.08,39.02
2007-05-20,21.95,35.37,5.55,37.07,38.02
2007-05-21,24.61,35.04,5.66,33.34,37.6
2007-05-22,27.85,33.74,3.84,22.25,36.0
2007-05-23,27.47,34.94,2.05,15.09,36.98
2007-05-24,27.6,35.49,2.11,12.59,37.32
2007-05-25,26.57,34.33,2.52,10.96,36.17
2007-05-26,25.02,33.26,2.69,15.33,36.18
2007-05-27,26.24,32.76,3.23,19.22,36.91
2007-05-28,21.66,33.96,2.06,18.72,37.89
2007-05-29,21.45,33.81,2.34,21.85,36.99
2007-05-30,21.21,34.94,1.58,23.0,38.81
2007-05-31,26.14,36.33,1.73,21.85,38.81
2007-06-01,27.65,37.05,3.3,21.1,39.88
2007-06-02,28.3,37.03,3.71,19.75,39.94
2007-06-03,26.81,36.68,4.89,24.41,39.52
2007-06-04,23.74,35.13,6.01,38.4,39.07
2007-06-05,26.56,34.89,5.71,41.93,38.37
2007-06-06,27.41,36.63,5.52,37.34,39.94
2007-06-07,28.48,37.46,6.14,33.38,40.58
2007-06-08,27.19,37.6,5.7,32.16,40.68
2007-06-09,27.68,39.02,5.6,28.88,42.16
2007-06-10,25.65,38.68,7.62,32.39,41.36
2007-06-11,25.06,38.29,7.53,34.07,41.26
2007-06-12,25.87,38.04,7.15,39.12,41.25
2007-06-13,26.05,38.38,6.61,36.84,41.6
2007-06-14,26.23,38.78,7.12,34.81,42.0
2007-06-15,25.12,38.01,7.87,37.26,41.04
2007-06-16,26.01,37.82,6.22,38.13,41.29
2007-06-17,26.26,38.34,5.81,36.22,42.19
2007-06-18,23.81,36.65,4.46,43.16,42.16
2007-06-19,25.22,37.21,3.7,42.28,41.94
2007-06-20,24.67,37.45,3.29,39.6,42.91
2007-06-21,26.06,36.03,3.1,39.12,39.1
2007-06-22,25.65,35.71,5.27,37.64,37.97
2007-06-23,23.44,37.43,7.46,37.15,40.3
2007-06-24,22.07,37.51,8.18,37.7,40.42
2007-06-25,22.59,35.39,6.94,45.14,39.35
2007-06-26,22.49,34.21,6.74,49.22,38.01
2007-06-27,19.79,34.25,5.81,51.79,37.75
2007-06-28,26.6,35.99,4.74,42.45,39.29
2007-06-29,13.44,36.33,2.05,41.36,41.31
2007-06-30,25.43,36.11,2.27,44.8,40.31
2007-07-01,25.95,38.6,4.72,35.53,42.08
2007-07-02,25.0,38.48,6.37,35.11,41.94
2007-07-03,24.88,37.73,4.88,36.84,41.79
2007-07-04,24.36,36.37,3.02,40.96,40.42
2007-07-05,21.73,36.01,5.61,45.34,39.14
2007-07-06,25.29,36.81,5.2,43.04,40.95
2007-07-07,24.32,36.4,5.36,43.55,39.36
2007-07-08,21.78,34.33,2.99,52.51,36.8
2007-07-09,24.62,34.38,4.0,48.29,36.82
2007-07-10,20.0,35.8,2.43,38.88,38.95
2007-07-11,20.85,36.95,2.85,41.08,40.82
2007-07-12,25.65,36.61,6.31,44.25,40.0
2007-07-13,24.62,37.05,6.95,43.95,40.39
2007-07-14,23.33,36.9,5.94,43.08,40.85
2007-07-15,21.17,36.11,4.9,44.09,40.34
2007-07-16,22.97,37.08,3.19,38.04,41.62
2007-07-17,22.25,37.43,4.04,35.3,42.1
2007-07-18,24.57,37.19,6.24,35.11,40.75
2007-07-19,23.97,36.42,7.17,37.8,39.56
2007-07-20,23.91,35.37,8.02,41.66,38.47
2007-07-21,19.01,34.3,8.09,44.45,37.05
2007-07-22,20.39,33.52,5.31,47.71,35.72
2007-07-23,21.19,33.06,3.32,54.04,34.28
2007-07-24,22.51,34.33,3.45,46.94,36.56
2007-07-25,24.75,34.92,6.38,44.73,37.09
2007-07-26,25.39,36.03,7.96,40.79,38.56
2007-07-27,23.7,35.85,7.23,45.38,38.6
2007-07-28,22.79,35.65,6.6,45.86,39.25
2007-07-29,22.82,34.45,4.79,49.37,38.01
2007-07-30,20.99,36.0,3.16,42.38,40.36
2007-07-31,24.59,36.07,5.41,43.46,39.31
2007-08-01,25.17,35.03,7.05,46.15,37.43
2007-08-02,24.51,35.36,7.1,46.94,38.58
2007-08-03,24.91,35.83,3.32,42.46,40.33
2007-08-04,16.92,36.47,3.34,37.82,39.37
2007-08-05,21.86,34.04,4.04,48.7,36.46
2007-08-06,18.88,33.16,2.36,55.73,34.78
2007-08-07,22.48,31.82,3.7,63.09,32.25
2007-08-08,24.28,34.66,4.63,49.24,36.29
2007-08-09,21.36,34.93,5.55,49.17,37.32
2007-08-10,23.31,34.89,4.23,51.85,38.21
2007-08-11,25.05,35.46,4.14,47.66,39.4
2007-08-12,22.75,34.86,7.16,51.8,37.79
2007-08-13,20.4,34.51,7.47,47.73,37.25
2007-08-14,18.76,33.94,6.23,44.63,36.77
2007-08-15,20.12,33.46,5.52,45.01,36.15
2007-08-16,23.02,33.11,5.61,42.16,35.71
2007-08-17,24.87,33.63,5.31,42.83,36.62
2007-08-18,25.18,33.7,5.34,40.82,36.47
2007-08-19,25.85,34.48,4.27,38.18,37.86
2007-08-20,23.03,34.14,4.53,40.48,37.31
2007-08-21,20.87,32.89,4.21,47.01,35.93
2007-08-22,21.74,32.63,2.77,51.85,35.13
2007-08-23,4.87,29.57,2.09,73.22,30.1
2007-08-24,23.5,30.08,3.43,71.09,31.57
2007-08-25,25.13,33.08,3.06,53.78,35.66
2007-08-26,25.27,34.73,2.85,44.93,37.63
2007-08-27,24.93,35.31,2.96,44.79,38.67
2007-08-28,24.12,35.07,3.34,44.47,38.4
2007-08-29,22.8,35.03,2.59,44.26,38.4
2007-08-30,22.9,34.52,1.66,44.35,37.79
2007-08-31,23.19,36.23,1.69,37.9,39.64
2007-09-01,21.13,35.28,2.63,43.03,38.29
2007-09-02,20.67,35.69,2.15,43.55,39.02
2007-09-03,22.23,36.43,1.62,38.94,39.5
2007-09-04,22.33,36.24,3.29,38.99,39.65
2007-09-05,22.52,35.96,5.36,42.54,38.68
2007-09-06,21.17,34.36,5.01,47.32,37.37
2007-09-07,18.73,32.91,3.41,50.99,36.73
2007-09-08,18.87,33.14,3.6,45.93,36.39
2007-09-09,20.71,33.0,3.34,45.87,36.23
2007-09-10,22.02,33.81,3.2,41.18,36.76
2007-09-11,22.61,33.17,3.82,43.07,35.79
2007-09-12,22.84,32.86,4.33,40.75,35.1
2007-09-13,23.17,32.96,3.82,39.97,35.48
2007-09-14,22.78,32.79,4.11,41.88,35.4
2007-09-15,22.57,33.21,3.36,43.41,35.87
2007-09-16,20.02,33.53,2.68,42.03,36.17
2007-09-17,19.14,34.11,1.81,41.27,37.51
2007-09-18,21.88,35.55,1.05,34.7,38.07
2007-09-19,21.5,35.89,1.19,33.67,38.75
2007-09-20,21.85,36.71,1.15,29.79,38.47
2007-09-21,20.49,35.94,2.3,32.34,38.0
2007-09-22,19.72,35.05,2.95,37.75,37.84
2007-09-23,17.2,31.2,4.04,51.99,32.73
2007-09-24,15.93,30.07,2.87,58.51,31.2
2007-09-25,20.42,31.99,0.95,44.57,34.23
2007-09-26,22.57,33.03,1.54,30.03,33.84
2007-09-27,21.94,32.78,1.72,21.6,33.43
2007-09-28,20.69,30.87,2.65,26.49,32.72
2007-09-29,20.11,31.96,1.81,22.41,33.35
2007-09-30,20.14,31.16,2.34,21.7,32.47
2007-10-01,21.66,32.15,2.18,19.89,31.9
2007-10-02,22.07,30.9,3.26,18.19,30.73
2007-10-03,21.08,30.02,1.86,18.64,30.73
2007-10-04,22.04,29.56,2.62,25.36,30.41
2007-10-05,18.23,29.63,2.02,19.67,30.12
2007-10-06,20.25,29.95,2.13,20.53,30.36
2007-10-07,21.1,29.36,2.74,16.37,29.29
2007-10-08,22.43,28.79,2.29,9.82,27.79
2007-10-09,22.4,28.5,1.98,9.52,27.15
2007-10-10,21.65,29.21,0.94,10.55,27.55
2007-10-11,21.28,28.36,2.1,20.48,28.41
2007-10-12,21.26,29.39,1.65,17.03,29.0
2007-10-13,21.44,28.91,1.8,15.19,28.24
2007-10-14,21.16,28.8,1.17,11.91,27.64
2007-10-15,20.98,27.76,2.08,15.39,27.45
2007-10-16,20.72,28.61,1.98,11.75,26.51
2007-10-17,20.45,28.4,1.73,11.04,26.74
2007-10-18,20.69,26.91,2.47,17.22,26.72
2007-10-19,20.05,28.22,2.33,14.06,26.65
2007-10-20,20.46,27.17,4.15,17.5,26.68
2007-10-21,19.44,27.57,3.17,23.98,27.27
2007-10-22,18.38,27.49,2.43,24.57,27.64
2007-10-23,17.38,26.79,2.2,20.68,26.86
2007-10-24,18.39,27.52,2.34,19.66,27.54
2007-10-25,18.73,28.63,1.91,20.04,28.32
2007-10-26,18.32,29.83,1.43,19.16,28.56
2007-10-27,18.8,29.05,2.01,20.88,28.16
2007-10-28,18.4,27.71,2.26,20.93,26.88
2007-10-29,19.11,27.52,2.34,16.89,26.35
2007-10-30,18.48,25.76,3.69,18.25,26.07
2007-10-31,17.9,24.94,3.28,17.83,24.93
2007-11-01,17.55,25.05,2.65,15.58,24.31
2007-11-02,17.39,26.45,1.95,11.77,24.51
2007-11-03,17.73,26.64,2.28,11.37,24.73
2007-11-04,16.94,25.58,2.16,13.7,25.61
2007-11-05,17.24,26.43,1.97,13.7,25.3
2007-11-06,17.3,27.67,2.1,13.27,25.3
2007-11-07,17.02,25.96,3.3,18.4,25.71
2007-11-08,15.69,24.39,2.68,19.3,24.07
2007-11-09,15.31,24.83,2.14,20.27,23.86
2007-11-10,16.26,25.41,1.39,19.98,23.55
2007-11-11,15.69,24.82,2.04,22.58,23.84
2007-11-12,15.8,24.89,1.66,22.65,23.71
2007-11-13,15.29,25.05,1.95,20.06,23.25
2007-11-14,16.45,25.26,1.57,19.49,23.64
2007-11-15,15.95,24.7,1.91,21.7,23.66
2007-11-16,14.71,23.41,2.47,25.52,23.3
2007-11-17,15.07,23.51,2.27,19.5,22.15
2007-11-18,16.18,23.38,2.07,16.51,21.39
2007-11-19,16.12,22.33,2.61,21.43,21.91
2007-11-20,15.48,22.09,2.15,22.38,21.37
2007-11-21,15.27,23.41,2.21,21.08,21.24
2007-11-22,15.51,23.5,2.19,22.1,21.67
2007-11-23,14.93,22.81,2.2,22.54,21.72
2007-11-24,15.61,23.54,2.23,19.85,21.45
2007-11-25,15.6,22.29,2.52,20.19,21.23
2007-11-26,15.98,21.62,2.71,23.0,21.33
2007-11-27,15.84,21.36,2.25,24.44,21.05
2007-11-28,15.65,20.76,3.01,24.37,20.09
2007-11-29,13.66,20.28,3.31,33.14,20.09
2007-11-30,13.53,19.11,3.24,34.7,19.49
2007-12-01,12.0,18.42,3.06,40.3,19.43
2007-12-02,12.36,17.39,3.21,44.46,18.17
2007-12-03,12.52,16.19,3.48,44.62,16.69
2007-12-04,13.03,17.52,1.95,35.88,17.97
2007-12-05,14.81,17.11,2.62,30.23,16.94
2007-12-06,13.88,17.39,2.8,29.14,18.17
2007-12-07,14.25,18.14,2.25,25.29,17.85
2007-12-08,14.4,17.07,3.17,25.68,16.65
2007-12-09,13.9,17.38,2.92,26.86,17.34
2007-12-10,10.61,16.66,4.81,36.0,17.53
2007-12-11,8.6,14.24,3.42,64.84,15.15
2007-12-12,11.72,14.08,3.76,57.27,14.56
2007-12-13,13.79,14.52,2.44,47.54,14.56
2007-12-14,13.79,14.86,2.58,39.81,14.26
2007-12-15,14.55,14.48,2.4,37.15,13.97
2007-12-16,15.16,14.98,2.5,29.07,14.18
2007-12-17,14.8,13.91,3.23,29.42,13.81
2007-12-18,14.9,14.0,2.83,25.17,14.1
2007-12-19,14.29,14.77,2.89,23.92,15.06
2007-12-20,13.68,15.54,2.55,27.64,15.43
2007-12-21,14.2,15.85,2.99,29.69,15.79
2007-12-22,13.49,15.99,2.77,30.03,15.71
2007-12-23,6.52,18.24,1.79,31.84,16.29
2007-12-24,13.19,17.67,3.16,34.68,17.33
2007-12-25,14.04,17.19,1.99,26.68,15.63
2007-12-26,14.73,16.29,2.06,24.79,15.22
2007-12-27,15.14,14.87,2.61,25.14,14.52
2007-12-28,15.64,14.19,2.54,22.51,13.39
2007-12-29,15.58,13.17,2.85,16.16,12.51
2007-12-30,15.48,12.36,2.65,19.12,12.1
2007-12-31,13.63,12.54,3.02,21.12,11.99
2008-01-01,16.09,13.4,2.32,15.56,11.73
2008-01-02,15.34,12.77,2.97,14.46,11.23
2008-01-03,15.08,11.76,3.68,18.0,11.41
2008-01-04,13.98,12.44,3.38,16.5,12.34
2008-01-05,11.88,14.85,3.32,13.35,15.14
2008-01-06,14.0,16.42,3.92,20.59,16.98
2008-01-07,9.89,17.12,3.35,32.12,17.52
2008-01-08,4.06,17.23,3.97,48.22,17.02
2008-01-09,11.63,14.74,1.74,74.94,15.29
2008-01-10,13.3,15.03,3.42,56.42,15.08
2008-01-11,15.81,12.52,2.97,27.69,13.07
2008-01-12,12.85,12.2,3.04,26.42,12.58
2008-01-13,15.81,15.51,2.96,21.91,15.54
2008-01-14,15.05,16.15,3.24,29.27,16.08
2008-01-15,13.73,16.55,3.03,25.56,15.71
2008-01-16,12.09,19.21,2.74,28.25,18.87
2008-01-17,10.58,17.1,3.57,42.89,17.16
2008-01-18,17.53,13.05,3.47,26.94,12.92
2008-01-19,15.95,14.09,2.27,14.12,12.1
2008-01-20,17.03,13.19,2.37,15.33,12.17
2008-01-21,16.79,11.14,3.49,20.72,11.62
2008-01-22,14.37,11.76,2.75,18.07,11.6
2008-01-23,16.33,11.47,3.01,18.79,11.38
2008-01-24,16.01,10.46,3.76,19.13,10.28
2008-01-25,12.89,10.34,4.28,18.37,10.82
2008-01-26,15.39,10.05,3.7,22.31,10.55
2008-01-27,16.43,10.19,3.5,23.65,10.63
2008-01-28,15.27,12.78,2.33,18.08,13.41
2008-01-29,12.4,16.02,2.03,27.05,15.17
2008-01-30,16.93,14.94,2.61,31.52,14.9
2008-01-31,17.63,14.28,3.04,23.86,13.96
2008-02-01,17.36,14.19,2.93,18.82,14.12
2008-02-02,5.12,15.18,3.8,22.64,15.51
2008-02-03,14.62,11.53,4.28,54.46,12.8
2008-02-04,14.48,11.52,2.78,54.94,12.67
2008-02-05,14.36,13.91,1.86,35.29,13.19
2008-02-06,13.58,14.26,2.77,34.75,14.97
2008-02-07,17.22,11.63,2.79,42.7,12.4
2008-02-08,18.53,12.2,2.65,26.99,12.92
2008-02-09,18.4,12.04,2.46,36.25,12.18
2008-02-10,19.04,15.33,1.25,19.37,13.25
2008-02-11,19.93,14.64,3.32,16.58,14.13
2008-02-12,19.91,13.73,3.4,21.83,14.05
2008-02-13,20.08,15.21,2.34,16.7,14.62
2008-02-14,19.84,18.41,1.91,12.05,15.98
2008-02-15,19.91,18.24,3.22,11.31,17.52
2008-02-16,19.36,19.58,2.3,13.77,19.03
2008-02-17,18.06,22.21,2.36,15.48,20.12
2008-02-18,19.57,21.72,3.34,19.6,20.79
2008-02-19,20.08,21.44,2.07,15.28,20.43
2008-02-20,20.02,21.76,2.94,11.22,21.35
2008-02-21,20.22,22.4,5.25,12.9,22.39
2008-02-22,18.47,22.06,5.14,26.4,22.6
2008-02-23,18.32,20.43,1.71,18.51,19.86
2008-02-24,20.11,19.58,2.24,17.83,18.9
2008-02-25,21.88,20.03,2.68,10.88,18.81
2008-02-26,21.82,21.6,1.74,8.86,19.96
2008-02-27,21.98,23.7,2.46,7.79,21.55
2008-02-28,21.79,25.58,1.5,7.98,23.16
2008-02-29,21.97,26.09,2.49,9.24,24.05
2008-03-01,22.38,24.67,3.42,11.7,24.04
2008-03-02,21.6,25.87,2.39,10.71,24.38
2008-03-03,22.17,26.02,1.72,11.89,24.82
2008-03-04,21.2,26.44,2.94,12.44,25.53
2008-03-05,22.44,27.02,1.92,11.89,25.84
2008-03-06,22.23,26.36,3.53,14.31,25.84
2008-03-07,21.57,23.81,2.46,20.57,25.72
2008-03-08,21.36,24.36,2.74,26.6,26.54
2008-03-09,20.32,26.42,1.95,19.72,27.86
2008-03-10,21.28,26.18,2.56,17.47,27.24
2008-03-11,17.09,26.77,2.51,18.65,27.31
2008-03-12,19.81,25.89,2.0,30.2,27.43
2008-03-13,23.01,26.81,1.0,20.41,27.41
2008-03-14,23.83,27.24,2.12,17.32,27.85
2008-03-15,23.49,27.4,2.05,15.45,28.73
2008-03-16,24.06,27.88,3.57,14.97,28.72
2008-03-17,23.71,28.27,4.72,15.0,29.2
2008-03-18,23.18,27.97,4.3,17.91,29.06
2008-03-19,25.08,26.6,3.14,9.62,27.83
2008-03-20,24.38,27.69,2.33,8.32,27.7
2008-03-21,23.85,27.87,3.06,11.89,28.61
2008-03-22,20.89,27.14,2.96,13.16,28.69
2008-03-23,23.82,27.87,3.33,15.33,29.5
2008-03-24,23.78,28.02,2.54,13.6,29.6
2008-03-25,20.39,28.65,2.89,13.44,30.66
2008-03-26,21.89,29.85,2.61,11.8,31.46
2008-03-27,22.99,30.15,2.46,12.77,30.77
2008-03-28,24.15,30.5,4.31,12.08,30.1
2008-03-29,23.77,30.64,2.53,12.43,30.81
2008-03-30,23.62,31.26,2.34,17.06,31.68
2008-03-31,23.72,30.2,3.84,20.71,31.43
2008-04-01,22.55,28.81,3.68,31.14,31.06
2008-04-02,16.14,29.36,3.42,33.91,32.15
2008-04-03,21.74,26.27,1.96,43.99,27.66
2008-04-04,15.79,23.28,4.25,57.99,23.68
2008-04-05,21.13,25.18,3.6,55.76,27.11
2008-04-06,20.78,25.86,2.71,47.27,28.54
2008-04-07,24.63,27.12,1.65,36.44,29.65
2008-04-08,25.04,29.55,2.29,24.41,30.59
2008-04-09,23.19,30.07,1.67,22.03,32.71
2008-04-10,25.03,31.25,2.75,22.64,33.42
2008-04-11,24.17,31.73,3.42,21.31,33.7
2008-04-12,24.77,32.67,3.35,27.74,34.8
2008-04-13,25.35,31.85,2.77,26.39,35.11
2008-04-14,24.52,32.47,2.9,18.83,35.02
2008-04-15,22.26,30.13,2.7,24.53,33.09
2008-04-16,26.01,28.92,4.2,22.14,31.18
2008-04-17,27.69,27.79,3.53,20.33,30.01
2008-04-18,27.63,30.61,1.81,13.51,32.18
2008-04-19,26.59,30.96,3.51,11.68,32.65
2008-04-20,26.48,30.84,2.82,18.91,33.35
2008-04-21,26.39,32.54,1.72,15.85,34.45
2008-04-22,26.47,31.59,4.0,17.82,33.54
2008-04-23,26.94,32.52,1.69,12.44,34.39
2008-04-24,26.54,34.16,1.64,11.23,35.32
2008-04-25,27.02,34.79,2.02,15.08,36.81
2008-04-26,27.47,35.13,2.51,11.81,37.18
2008-04-27,28.4,33.93,2.24,9.37,36.16
2008-04-28,27.39,35.86,2.34,6.6,35.91
2008-04-29,27.36,34.76,2.42,11.88,37.11
2008-04-30,26.96,34.2,3.62,14.75,36.66
2008-05-01,25.98,34.84,3.46,17.53,37.77
2008-05-02,27.06,35.35,4.38,17.93,37.78
2008-05-03,26.25,35.71,5.73,20.37,37.78
2008-05-04,25.69,35.07,6.48,24.9,36.92
2008-05-05,23.45,34.8,3.57,24.04,37.91
2008-05-06,25.81,34.93,4.59,21.13,36.95
2008-05-07,25.73,34.56,3.62,27.37,37.79
2008-05-08,24.27,33.81,4.88,28.03,35.84
2008-05-09,24.13,32.65,3.47,34.89,34.51
2008-05-10,26.32,32.5,3.18,36.13,34.24
2008-05-11,27.49,33.71,3.2,29.55,36.08
2008-05-12,25.94,34.76,4.63,31.86,37.32
2008-05-13,25.1,34.92,5.11,31.99,37.5
2008-05-14,25.74,35.2,4.81,31.44,38.11
2008-05-15,23.59,34.79,5.02,33.53,37.56
2008-05-16,26.42,35.5,4.72,31.73,38.61
2008-05-17,26.11,36.06,7.56,30.45,38.2
2008-05-18,25.03,35.39,9.73,35.98,37.36
2008-05-19,25.28,34.18,5.71,39.2,37.46
2008-05-20,25.71,34.75,6.16,37.25,37.59
2008-05-21,25.32,34.7,6.31,37.83,37.58
2008-05-22,25.62,34.08,5.6,39.91,37.55
2008-05-23,23.6,34.8,4.63,36.1,37.6
2008-05-24,22.15,35.14,2.96,29.79,37.95
2008-05-25,23.68,35.37,3.23,25.61,38.56
2008-05-26,22.72,36.01,2.08,25.5,39.89
2008-05-27,24.99,36.29,3.05,23.64,39.48
2008-05-28,26.52,36.36,2.37,22.86,40.21
2008-05-29,27.03,36.3,3.38,26.57,39.46
2008-05-30,25.97,35.83,4.75,31.27,38.63
2008-05-31,26.15,35.92,5.81,32.41,38.7
2008-06-01,24.23,36.31,4.35,37.04,40.14
2008-06-02,22.37,33.97,4.89,50.84,35.7
2008-06-03,25.81,33.9,1.38,48.04,36.33
2008-06-04,25.81,35.55,4.17,37.66,38.64
2008-06-05,25.31,35.95,7.33,40.0,38.54
2008-06-06,25.44,36.18,7.27,38.43,38.87
2008-06-07,27.45,36.37,6.77,40.59,39.88
2008-06-08,27.17,37.02,4.82,39.47,41.46
2008-06-09,26.76,36.82,4.35,35.56,40.72
2008-06-10,25.6,36.45,3.54,36.37,39.78
2008-06-11,23.64,35.48,3.03,44.69,38.9
2008-06-12,19.73,34.17,3.74,53.24,35.96
2008-06-13,22.26,33.11,4.85,55.03,35.16
2008-06-14,26.79,35.31,4.63,44.51,38.26
2008-06-15,25.7,36.55,7.3,36.92,39.35
2008-06-16,22.58,36.05,5.44,41.91,39.63
2008-06-17,19.88,35.89,5.1,42.94,38.84
2008-06-18,20.25,35.89,5.72,42.63,38.59
2008-06-19,20.65,35.73,5.99,40.81,38.91
2008-06-20,19.41,35.64,6.71,40.93,38.55
2008-06-21,21.07,35.76,5.19,43.27,38.69
2008-06-22,21.01,36.43,6.43,40.92,39.42
2008-06-23,24.17,35.81,5.96,39.98,39.06
2008-06-24,23.18,36.69,6.13,38.72,39.66
2008-06-25,24.92,37.22,5.19,37.3,41.1
2008-06-26,24.68,37.56,4.92,36.18,41.37
2008-06-27,23.81,37.35,6.18,34.6,40.61
2008-06-28,25.05,37.02,5.66,36.72,40.82
2008-06-29,23.8,37.79,3.64,34.62,42.1
2008-06-30,21.64,38.18,4.43,34.82,41.45
2008-07-01,22.59,35.67,5.45,46.48,38.99
2008-07-02,24.09,36.67,5.84,43.25,39.85
2008-07-03,24.21,37.22,8.06,36.44,39.91
2008-07-04,24.43,36.04,8.04,39.98,38.84
2008-07-05,22.14,35.15,7.07,43.19,37.9
2008-07-06,22.44,36.18,5.87,38.8,39.79
2008-07-07,20.54,36.4,4.8,39.11,40.16
2008-07-08,20.13,36.27,4.25,40.27,39.51
2008-07-09,23.15,34.45,3.84,48.29,36.8
2008-07-10,22.87,33.25,2.6,55.34,34.94
2008-07-11,16.58,33.0,3.07,58.11,34.74
2008-07-12,23.58,32.07,5.13,57.82,33.38
2008-07-13,23.56,33.72,5.84,49.05,35.99
2008-07-14,20.96,34.4,5.5,45.45,37.17
2008-07-15,19.73,34.64,6.59,43.35,37.19
2008-07-16,23.32,34.1,6.56,45.33,36.92
2008-07-17,22.95,34.6,6.22,41.41,37.17
2008-07-18,24.55,34.81,6.56,41.97,37.79
2008-07-19,23.96,35.24,5.94,41.07,38.14
2008-07-20,23.01,35.56,6.07,40.34,38.55
2008-07-21,21.02,35.41,4.88,41.74,38.43
2008-07-22,22.58,35.87,5.06,39.47,39.17
2008-07-23,23.3,35.98,4.99,39.32,39.54
2008-07-24,24.81,35.94,5.48,36.04,39.15
2008-07-25,26.34,36.4,5.28,37.31,39.79
2008-07-26,26.52,36.3,4.6,37.97,40.17
2008-07-27,24.98,37.24,3.05,33.87,40.77
2008-07-28,23.45,36.85,3.39,36.43,40.33
2008-07-29,23.11,34.95,2.59,46.61,37.53
2008-07-30,25.07,36.45,2.49,42.05,39.82
2008-07-31,23.63,36.6,5.0,43.71,39.97
2008-08-01,6.68,32.55,2.73,63.9,33.33
2008-08-02,17.45,28.26,4.57,86.65,28.32
2008-08-03,25.29,29.03,1.48,80.53,29.59
2008-08-04,23.25,29.85,1.33,73.51,31.05
2008-08-05,13.23,29.29,0.83,73.69,30.15
2008-08-06,11.66,30.32,3.55,64.81,31.85
2008-08-07,21.7,31.85,4.64,59.41,34.13
2008-08-08,23.68,32.49,5.03,55.77,35.08
2008-08-09,22.96,33.29,3.65,52.76,36.33
2008-08-10,20.86,35.38,1.61,45.55,38.73
2008-08-11,23.3,35.04,2.34,47.92,37.29
2008-08-12,22.71,34.19,2.59,52.52,36.49
2008-08-13,19.61,31.12,3.36,65.33,32.68
2008-08-14,21.22,32.55,2.59,59.43,35.11
2008-08-15,21.59,33.79,4.35,53.62,36.04
2008-08-16,23.89,33.26,4.53,51.71,35.81
2008-08-17,24.93,32.91,5.58,50.6,35.07
2008-08-18,25.23,32.15,5.36,49.83,34.32
2008-08-19,24.79,31.6,5.58,50.13,33.74
2008-08-20,24.45,31.64,5.23,50.55,33.84
2008-08-21,24.16,31.21,5.4,50.14,33.3
2008-08-22,23.43,31.96,4.86,47.57,34.38
2008-08-23,23.97,32.39,3.52,47.28,34.92
2008-08-24,25.23,33.53,3.06,45.28,36.7
2008-08-25,24.79,34.49,3.03,43.05,37.43
2008-08-26,24.57,34.86,3.7,43.29,37.69
2008-08-27,24.51,33.76,5.43,49.32,36.02
2008-08-28,24.82,33.4,5.6,49.82,35.8
2008-08-29,24.72,32.71,6.1,49.48,34.88
2008-08-30,25.12,32.46,5.35,49.27,34.86
2008-08-31,23.76,31.79,4.19,48.88,34.47
2008-09-01,22.54,32.7,2.39,43.74,35.85
2008-09-02,24.26,33.76,2.54,41.01,36.69
2008-09-03,24.46,33.82,4.06,39.32,36.17
2008-09-04,24.99,34.26,4.18,39.09,36.57
2008-09-05,24.18,33.05,6.0,41.2,34.9
2008-09-06,16.23,32.29,3.36,45.83,34.73
2008-09-07,18.77,30.69,2.38,52.7,32.78
2008-09-08,23.59,30.45,2.64,46.84,33.07
2008-09-09,24.21,31.29,2.47,39.81,33.7
